# This file is part of tsunami_lab.
# @author Alexander Breuer, alex.breuer AT uni-jena.de
#
# This file contains a collection of middle state water heights $h^*$ for the homogenous
# shallow water equations and given initial values $\begin{bmatrix}h \\  hu \end{bmatrix}_l$ and
# $\begin{bmatrix} h \\ hu \end{bmatrix}_r$ in a Riemann problem.
#
hLeft,hRight,huLeft,huRight,hStar
8899.326826472694,8899.326826472694,122.0337839252433,-122.0337839252433,8899.739847378269
9894.065328676988,9894.065328676988,763.616897222239,-763.616897222239,9896.516538751875
1387.176994373967,1387.176994373967,-101.9619713277172,101.9619713277172,1386.303079031417
9976.904476606509,9976.904476606509,-906.6229611756387,906.6229611756387,9974.006714260977
6907.360046520149,6907.360046520149,-180.6064611678331,180.6064611678331,6906.666250464617
1065.53384380855,1065.53384380855,64.19327065348772,-64.19327065348772,1066.161808657808
3042.136044684769,3042.136044684769,-27.52440428024561,27.52440428024561,3041.976718035753
5973.686834276039,5973.686834276039,417.2334213893989,-417.2334213893989,5975.410506492273
10458.94716344883,10458.94716344883,-366.1438461063776,366.1438461063776,10457.80412356421
10539.5774699817,10539.5774699817,-988.5578370907829,988.5578370907829,10536.50332526859
1721.70769116386,1721.70769116386,-59.24568357838537,59.24568357838537,1721.251849777897
10601.88495517121,10601.88495517121,529.0874845681728,-529.0874845681728,10603.52561385381
10455.23457565769,10455.23457565769,-88.40698975464889,88.40698975464889,10454.95852909595
5301.858210999595,5301.858210999595,-58.83019916774978,58.83019916774978,5301.600254498357
8741.563561672365,8741.563561672365,287.7250122212896,-287.7250122212896,8742.54612546504
1549.924476825073,1549.924476825073,-25.11658054799043,25.11658054799043,1549.720793033016
4606.998490126802,4606.998490126802,103.3300832463779,-103.3300832463779,4607.484555512749
10002.67914164018,10002.67914164018,192.2137850623672,-192.2137850623672,10003.29276024427
8653.380660779014,8653.380660779014,440.8722302889034,-440.8722302889034,8654.893888610122
10480.63577348968,10480.63577348968,774.9297813818182,-774.9297813818182,10483.05267563456
7162.755656887399,7162.755656887399,-135.839856273752,135.839856273752,7162.243214703127
390.1786650658725,390.1786650658725,17.68031098916076,-17.68031098916076,390.4644919856917
9275.139408004652,9275.139408004652,806.4854949048764,-806.4854949048764,9277.813233911196
10202.10824525573,10202.10824525573,59.97969541735853,-59.97969541735853,10202.29784022366
7413.92409651146,7413.92409651146,-200.1528845392947,200.1528845392947,7413.181945278806
8276.895446307137,8276.895446307137,531.91393856354,-531.91393856354,8278.76224555218
8117.33594932846,8117.33594932846,-484.1964070985731,484.1964070985731,8115.620186133062
4284.395734371719,4284.395734371719,174.8088539777322,-174.8088539777322,4285.248452977065
7159.884994409452,7159.884994409452,-73.35198067164316,73.35198067164316,7159.608223703631
1869.972190965689,1869.972190965689,61.62613412225134,-61.62613412225134,1870.427220160485
7712.241419438187,7712.241419438187,-529.1742085480364,529.1742085480364,7710.317677680526
347.8101809805661,347.8101809805661,-12.44923873844168,12.44923873844168,347.5970872800678
3024.929764727801,3024.929764727801,-125.3971165482863,125.3971165482863,3024.201868832783
504.4300998640945,504.4300998640945,43.03145083932323,-43.03145083932323,505.0420028534442
1061.070446439163,1061.070446439163,-85.57961136413012,85.57961136413012,1060.231802027111
8994.729858819019,8994.729858819019,-603.5775531882331,603.5775531882331,8992.698063353751
7589.71304876485,7589.71304876485,-138.9853242339589,138.9853242339589,7589.203700916305
3463.77762070478,3463.77762070478,-181.9430839342203,181.9430839342203,3462.790670804752
10379.37543946135,10379.37543946135,-844.2858613041609,844.2858613041609,10376.72973259769
376.3545373332724,376.3545373332724,-4.37534933610834,4.37534933610834,376.2825329594498
4792.504640526839,4792.504640526839,361.0412571687617,-361.0412571687617,4794.169887964914
4167.863026826931,4167.863026826931,-46.6022500186668,46.6022500186668,4167.632559343786
