longitude,latitude,distance,bathymetry
141.992490459,37.3328909506,85.7129076227,-710.955686022
141.995105955,37.3329243875,85.9445639988,-710.044769602
141.997721454,37.3329577668,86.1762203744,-712.009164748
142.000336954,37.3329910885,86.4078767493,-716.081060191
142.002952457,37.3330243526,86.6395331237,-720.7312502
142.005567963,37.3330575592,86.8711894975,-725.096168455
142.00818347,37.3330907082,87.1028458707,-729.178665784
142.01079898,37.3331237996,87.3345022434,-733.029312133
142.013414492,37.3331568335,87.5661586154,-736.703753335
142.016030006,37.3331898097,87.7978149869,-740.288523872
142.018645523,37.3332227284,88.0294713578,-743.88864309
142.021261042,37.3332555896,88.2611277282,-747.9070891
142.023876563,37.3332883931,88.492784098,-751.937500886
142.026492087,37.3333211391,88.7244404672,-755.835642054
142.029107612,37.3333538275,88.9560968358,-760.655296689
142.03172314,37.3333864584,89.1877532039,-765.702316701
142.034338671,37.3334190316,89.4194095714,-769.921612469
142.036954203,37.3334515473,89.6510659383,-777.053022144
142.039569738,37.3334840054,89.8827223047,-785.921137183
142.042185275,37.333516406,90.1143786705,-791.935304853
142.044800814,37.3335487489,90.3460350357,-796.820838744
142.047416355,37.3335810343,90.5776914004,-800.957753325
142.050031899,37.3336132621,90.8093477645,-804.694070917
142.052647445,37.3336454324,91.041004128,-808.538135436
142.055262993,37.333677545,91.272660491,-813.075532328
142.057878543,37.3337096001,91.5043168535,-817.615039497
142.060494096,37.3337415976,91.7359732154,-822.107343376
142.06310965,37.3337735376,91.9676295767,-826.471882294
142.065725207,37.3338054199,92.1992859374,-830.875103296
142.068340766,37.3338372447,92.4309422976,-835.335777345
142.070956328,37.3338690119,92.6625986573,-839.594214356
142.073571891,37.3339007216,92.8942550164,-844.077018942
142.076187457,37.3339323736,93.125911375,-849.134229629
142.078803025,37.3339639681,93.3575677329,-854.134541266
142.081418595,37.333995505,93.5892240904,-859.041056641
142.084034167,37.3340269843,93.8208804473,-863.811250823
142.086649741,37.3340584061,94.0525368037,-868.411332071
142.089265318,37.3340897703,94.2841931595,-872.824936398
142.091880897,37.3341210769,94.5158495147,-877.125398736
142.094496478,37.3341523259,94.7475058694,-881.599729067
142.097112061,37.3341835173,94.9791622236,-886.476471189
142.099727646,37.3342146512,95.2108185772,-890.949325362
142.102343233,37.3342457275,95.4424749303,-895.297553579
142.104958823,37.3342767462,95.6741312829,-900.091960487
142.107574414,37.3343077074,95.9057876349,-904.701502065
142.110190008,37.3343386109,96.1374439864,-908.967953383
142.112805604,37.3343694569,96.3691003373,-912.608677553
142.115421202,37.3344002453,96.6007566877,-916.162862698
142.118036802,37.3344309761,96.8324130376,-919.89822353
142.120652404,37.3344616494,97.0640693869,-923.76625402
142.123268009,37.3344922651,97.2957257357,-927.36595314
142.125883615,37.3345228232,97.5273820839,-929.914402481
142.128499224,37.3345533237,97.7590384317,-933.125674615
142.131114835,37.3345837666,97.9906947789,-937.018999447
142.133730447,37.334614152,98.2223511255,-940.494218101
142.136346062,37.3346444797,98.4540074717,-945.071275154
142.138961679,37.3346747499,98.6856638173,-951.269051372
142.141577298,37.3347049626,98.9173201624,-955.180134499
142.14419292,37.3347351176,99.1489765069,-957.60482785
142.146808543,37.3347652151,99.3806328509,-959.06484729
142.149424168,37.334795255,99.6122891945,-960.669496943
142.152039796,37.3348252373,99.8439455374,-962.366735801
142.154655425,37.334855162,100.07560188,-963.439967133
142.157271057,37.3348850292,100.307258222,-965.111904179
142.15988669,37.3349148387,100.538914563,-967.73929718
142.162502326,37.3349445907,100.770570904,-969.737633737
142.165117964,37.3349742851,101.002227245,-971.747343352
142.167733603,37.335003922,101.233883584,-974.422495622
142.170349245,37.3350335012,101.465539924,-976.137852972
142.172964889,37.3350630229,101.697196263,-977.273729704
142.175580535,37.335092487,101.928852601,-979.040867545
142.178196183,37.3351218935,102.160508939,-981.16697781
142.180811833,37.3351512424,102.392165276,-983.622958567
142.183427485,37.3351805338,102.623821613,-986.151060628
142.186043139,37.3352097675,102.855477949,-988.487377142
142.188658795,37.3352389437,103.087134285,-990.350648344
142.191274453,37.3352680623,103.31879062,-992.225760352
142.193890113,37.3352971233,103.550446955,-994.118139991
142.196505775,37.3353261268,103.782103289,-995.944772762
142.199121439,37.3353550727,104.013759623,-998.144448721
142.201737105,37.3353839609,104.245415956,-1000.71509359
142.204352773,37.3354127916,104.477072289,-1002.75976401
142.206968443,37.3354415648,104.708728621,-1004.3912349
142.209584115,37.3354702803,104.940384953,-1005.57690009
142.212199789,37.3354989383,105.172041284,-1006.77543842
142.214815465,37.3355275386,105.403697615,-1007.97706193
142.217431142,37.3355560814,105.635353945,-1008.9790287
142.220046822,37.3355845666,105.867010275,-1011.25914547
142.222662504,37.3356129943,106.098666604,-1014.61328664
142.225278188,37.3356413643,106.330322933,-1016.17953056
142.227893874,37.3356696768,106.561979261,-1017.02261894
142.230509562,37.3356979317,106.793635589,-1017.530886
142.233125251,37.335726129,107.025291916,-1018.26711075
142.235740943,37.3357542687,107.256948243,-1018.36296159
142.238356636,37.3357823508,107.488604569,-1016.19997781
142.240972332,37.3358103754,107.720260895,-1014.74431135
142.243588029,37.3358383424,107.951917221,-1014.25844793
142.246203729,37.3358662517,108.183573545,-1014.14434845
142.24881943,37.3358941036,108.41522987,-1014.1287829
142.251435133,37.3359218978,108.646886194,-1014.0381799
142.254050838,37.3359496344,108.878542517,-1014.23386948
142.256666545,37.3359773135,109.11019884,-1013.92807699
142.259282254,37.3360049349,109.341855162,-1011.94647359
142.261897965,37.3360324988,109.573511484,-1009.98329001
142.264513678,37.3360600051,109.805167806,-1008.26127307
142.267129392,37.3360874539,110.036824127,-1006.91538955
142.269745109,37.336114845,110.268480447,-1006.01509606
142.272360827,37.3361421786,110.500136767,-1005.56291478
